Category	Precision	Recall	F1-score	TP	FP	FN
COLO829_ONT_PAO,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.5389959622709365	0.7959060516088541	0.6427290448343079	32972	28201	8455
COLO829_ONT_PAO,0.4,Longphase_TO_v0_0_1,snv	0.7809296850325878	0.6565524899220315	0.7133602601762483	27199	7630	14228
COLO829_ONT_PAO,0.4,DeepSomatic_TO_v1_8_0,snv	0.4309757745893117	0.8004682936249305	0.560289260038354	33161	43783	8266
COLO829_ONT_PAO,0.4,ClairS_TO_v0_3_0,snv	0.55805060613457	0.6622733965771116	0.6057113841330816	27436	21728	13991
COLO829_ONT_PAO,0.4,ClairS_TO_v0_3_0_pileup,snv	0.0077135074490458375	0.708982064836942	0.015260980114378113	29371	3778365	12056
COLO829_ONT_PAO,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.4958123090653211	0.6973471407536148	0.5795592468879459	28889	29377	12538
COLO829_ONT_PAO,0.2,Longphase_TO_v0_0_1,snv	0.6401643737716634	0.3459579501291428	0.44917339183577526	14332	8056	27095
COLO829_ONT_PAO,0.2,DeepSomatic_TO_v1_8_0,snv	0.36351898080399414	0.6116300963139981	0.4560105822962503	25338	44364	16089
COLO829_ONT_PAO,0.2,ClairS_TO_v0_3_0,snv	0.380359690095936	0.3282641755376928	0.35239699403990676	13599	22154	27828
COLO829_ONT_PAO,0.2,ClairS_TO_v0_3_0_pileup,snv	0.004147787868398056	0.3805006396794361	0.00820612187207654	15763	3784576	25664
COLO829_ONT_PAO,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.3419370481396579	0.3744659280179593	0.3574629874992799	15513	29855	25914
H1437_ONT,1.0,Longphase_TO_v0_0_1,snv	0.7675123314422316	0.5926912976781675	0.6688673224620938	45591	13810	31331
H1437_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.6802260048225777	0.6197836769714776	0.6485997455938073	47675	22412	29247
H1437_ONT,1.0,ClairS_TO_v0_3_0,snv	0.7703740274774852	0.5882712357973011	0.6671187740028452	45251	13488	31671
H1437_ONT,1.0,ClairS_TO_v0_3_0_pileup,snv	0.024607048399872006	0.9527443384207379	0.04797501976129339	73287	2905006	3635
H1437_ONT,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.7431683667044453	0.6137645927042978	0.6722961908152367	47212	16316	29710
H1437_ONT,0.8,Longphase_TO_v0_0_1,snv	0.8638992785169742	0.5494916928837004	0.6717256394568093	42268	6659	34654
H1437_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.6240402851350467	0.6202516835235693	0.6221402165904927	47711	28744	29211
H1437_ONT,0.8,ClairS_TO_v0_3_0,snv	0.7276145949791646	0.5584098177374484	0.6318809026449734	42954	16080	33968
