Category	Precision	Recall	F1-score	TP	FP	FN
HCC1395_ONT,1.0,ClairS_TO_v0_3_0,indel	0.3879781420765027	0.3545568039950062	0.370515329419439	568	896	1034
HCC1395_ONT,1.0,ClairS_TO_ss_v0_3_0,indel	0.42677824267782427	0.5093632958801498	0.46442800227660785	816	1096	786
HCC1395_ONT,0.8,DeepSomatic_TO_v1_8_0,indel	0.36123348017621143	0.5118601747815231	0.42355371900826444	820	1450	782
HCC1395_ONT,0.8,ClairS_TO_v0_3_0,indel	0.32979591836734695	0.25218476903870163	0.2858153519632119	404	821	1198
HCC1395_ONT,0.8,ClairS_TO_ss_v0_3_0,indel	0.3939720129171152	0.45692883895131087	0.423121387283237	732	1126	870
HCC1395_ONT,0.6,DeepSomatic_TO_v1_8_0,indel	0.3089185695820767	0.44756554307116103	0.36553657914861076	717	1604	885
HCC1395_ONT,0.6,ClairS_TO_v0_3_0,indel	0.29336188436830835	0.17103620474406991	0.2160883280757098	274	660	1328
HCC1395_ONT,0.6,ClairS_TO_ss_v0_3_0,indel	0.3401397098334229	0.3951310861423221	0.36557897776494375	633	1228	969
HCC1395_ONT,0.4,DeepSomatic_TO_v1_8_0,indel	0.2129115006412997	0.31086142322097376	0.25272773407764526	498	1841	1104
HCC1395_ONT,0.4,ClairS_TO_v0_3_0,indel	0.10412371134020619	0.06304619225967541	0.07853810264385692	101	869	1501
HCC1395_ONT,0.4,ClairS_TO_ss_v0_3_0,indel	0.2546434991012582	0.26529338327091134	0.25985937022317335	425	1244	1177
HCC1395_ONT,0.2,DeepSomatic_TO_v1_8_0,indel	0.07677067855373948	0.09675405742821473	0.0856117094725214	155	1864	1447
HCC1395_ONT,0.2,ClairS_TO_v0_3_0,indel	0.006831767719897523	0.004993757802746567	0.005769924269743959	8	1163	1594
HCC1395_ONT,0.2,ClairS_TO_ss_v0_3_0,indel	0.08151382823871907	0.06991260923845194	0.07526881720430108	112	1262	1490
HCC1395_ONT_Dorado,1.0,DeepSomatic_TO_v1_8_0,indel	0.5002481389578164	0.6292134831460674	0.557367984517556	1008	1007	594
HCC1395_ONT_Dorado,1.0,ClairS_TO_v0_3_0,indel	0.4518413597733711	0.3982521847690387	0.42335766423357657	638	774	964
HCC1395_ONT_Dorado,1.0,ClairS_TO_ss_v0_3_0,indel	0.47821165817770234	0.5274656679151061	0.5016325319085781	845	922	757
