Category	Precision	Recall	F1-score	TP	FP	FN
H1437_ONT,0.6,ClairS_TO_v0_3_0,snv	0.7212483516483517	0.533280465926523	0.6131826573092073	41021	15854	35901
H1437_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.5842133333333334	0.5696159746236448	0.5768223167151565	43816	31184	33106
H1437_ONT,0.4,ClairS_TO_v0_3_0,snv	0.7296686451004284	0.48265775720860093	0.5809990297643267	37127	13755	39795
H1437_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.514668876204505	0.4360521047294662	0.4721100116824074	33542	31630	43380
H1437_ONT,0.2,ClairS_TO_v0_3_0,snv	0.8355162841615514	0.2778138893944515	0.41697967785051565	21370	4207	55552
HCC1395_ONT,1.0,DeepSomatic_TO_v1_8_0,snv	0.5666440754546481	0.7630238040915659	0.6503321989953006	30099	23019	9348
HCC1395_ONT,1.0,ClairS_TO_v0_3_0,snv	0.7082771703859019	0.7193195933784572	0.7137556754581241	28375	11687	11072
HCC1395_ONT,0.8,DeepSomatic_TO_v1_8_0,snv	0.5071011573520877	0.7530864197530864	0.6060859541564232	29707	28875	9740
HCC1395_ONT,0.8,ClairS_TO_v0_3_0,snv	0.6396063012360907	0.6309478540826933	0.6352475752935172	24889	14024	14558
HCC1395_ONT,0.6,DeepSomatic_TO_v1_8_0,snv	0.4828944951830765	0.7331863006058762	0.582283068250453	28922	30971	10525
HCC1395_ONT,0.6,ClairS_TO_v0_3_0,snv	0.6420362555405155	0.6132278753770882	0.6273014885120066	24190	13487	15257
HCC1395_ONT,0.4,DeepSomatic_TO_v1_8_0,snv	0.4592632288623438	0.6734859431642457	0.5461179517750324	26567	31280	12880
HCC1395_ONT,0.4,ClairS_TO_v0_3_0,snv	0.5680655066530195	0.5205719066088675	0.5432827133710778	20535	15614	18912
HCC1395_ONT,0.2,DeepSomatic_TO_v1_8_0,snv	0.37073909531502425	0.465409283342206	0.41271482684590916	18359	31161	21088
HCC1395_ONT,0.2,ClairS_TO_v0_3_0,snv	0.33195869143332407	0.24283215453646664	0.28048548380012595	9579	19277	29868
HCC1395_ONT_Dorado,1.0,DeepSomatic_TO_v1_8_0,snv	0.6048689138576779	0.7860673815499277	0.6836657075768099	31008	20256	8439
HCC1395_ONT_Dorado,1.0,ClairS_TO_v0_3_0,snv	0.7117534769566403	0.7278120009126169	0.7196931715632208	28710	11627	10737
HCC1395_ONT_Dorado,0.8,DeepSomatic_TO_v1_8_0,snv	0.535816014347505	0.7725302304357746	0.6327592113869249	30474	26400	8973
HCC1395_ONT_Dorado,0.8,ClairS_TO_v0_3_0,snv	0.6473880165575931	0.7096864146829923	0.6771072681098077	27995	15248	11452
HCC1395_ONT_Dorado,0.6,DeepSomatic_TO_v1_8_0,snv	0.5083069620253164	0.7492331482749005	0.6056910985644167	29555	28589	9892
HCC1395_ONT_Dorado,0.6,ClairS_TO_v0_3_0,snv	0.5879839846109111	0.6663878114939032	0.6247356037740333	26287	18420	13160
HCC1395_ONT_Dorado,0.4,DeepSomatic_TO_v1_8_0,snv	0.48385259035072103	0.688975080487743	0.5684763169729232	27178	28992	12269
HCC1395_ONT_Dorado,0.4,ClairS_TO_v0_3_0,snv	0.529076509338531	0.5436154840672295	0.5362474680537147	21444	19087	18003
HCC1395_ONT_Dorado,0.2,DeepSomatic_TO_v1_8_0,snv	0.3623864783047427	0.43699140619058485	0.396207550422341	17238	30330	22209
HCC1395_ONT_Dorado,0.2,ClairS_TO_v0_3_0,snv	0.3236842105263158	0.23385808806753366	0.271535167115546	9225	19275	30222
H2009_ONT,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.9014	0.9455	0.9229	129843	14203	7481
H2009_ONT,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.8703	0.9360	0.9020	128540	19154	8784
H2009_ONT,0.6,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.8438	0.9118	0.8765	125216	23186	12108
H2009_ONT,0.4,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.8231	0.8231	0.8231	113027	24293	24297
H2009_ONT,0.2,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.7066	0.4390	0.5415	60283	25028	77041
HCC1954_ONT,1.0,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.2434	0.8398	0.3774	17354	53947	3311
HCC1954_ONT,0.8,ClairS_TO_v0_3_0_pileup_nonsomatic,snv	0.2171	0.7703	0.3388	15919	57391	4746
